Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
"Pierś z indyka bez skóry (surowa)",100,22.3,0,1.2
"Jajecznica ze szczypiorkiem",158,12,0,12
"Kiełbasa morlińska z piersi kurczaka - Morliny",187,17,7,13
"Ketchup łagodny - Madero",135,1,32,0
"Pieczywo chrupkie kukurydziane - Tovago",369,7.6,82,0.5
"Zupa błyskawiczna kurczak curry - Vifon",72,1,9,3
"Masło Ekstra Pomorski z masłem",498,0.5,0.5,55
"Domowy kapuśniak",39,9,6,0.2
"Jogurt naturalny - Pilos",95,2.5,16,2.4
"Tortilla kukurydziana",218,5.7,44.6,2.9
"Kefir truskawkowy 0%",55,3.3,9,0.1
"Kotlet mielony rybny (z dorsza)",256,15.3,10.2,18.1
"Ser królewski light",290,31,1.8,19
"Płatki Granola owocowa - Sante",397,8.1,55.7,13.7
"Zupa pomidorowa zabielana śmietaną",21,0.4,1.5,1.5
"Dżem morelowy niskosłodzony",195,0.3,48,0.1
"Pomidory krojone z bazylią i oregano - Podravka",25,1.3,4.4,0.2
"Żelki Candy z nadzieniem - Biedronka",336,5.8,75,0
"Muffiny (babeczki) z jagodami",393,5.3,49.5,19.2
Agrest,44,0.9,10.2,0.6
"Sok wyciskany z marchwii i jabłka",43,0.3,10.7,0.1
"Mleko kozie",53,3.6,4.5,2.5
"Chleb żytni pełnoziarnisty - Oskroba",185,4.6,37.6,1.6
"Night protein Activlab",349,76,3,4
"Ciasto z truskawkami (ucierane)",238,4,27,13
"Szaszłyk wieprzowy",120,6.7,2.8,9.5
"Szynka wiejska",255,17.1,0.9,20.3
"Syrop barmański Irish Cream",344,0,86,0
"Sok świeży z buraka czerwonego",47,0.1,11,0.1
"Kiełbasa Chorizo",455,24,1.9,38
"Czekolada gorzka o smaku Tiramisu - E. Wedel",523,5.6,54,30
"Michałki klasyczne - Wawel",538,11,48,32
"Ser Gouda wędzona w plastrach",347,26,2.7,27
"Baton twarogowy - Pilos",350,8.9,29.3,22
"Śledź w marynacie",262,14.2,9.6,18
"Jogurt naturalny bez laktozy - Łowicz",61,4.4,5.2,2.5
"Lody Big Milk śmietankowe - Algida",140,3.5,21,4
"Mąka pszenna babuni typ 650",349,10,74,1.4
"Chleb sojowy",206,7,37.8,2.8
"Chipsy ziemniaczane (solone)",542,6.6,50.8,36.4
"Mleczko do kawy",110,6.8,11.6,4
"Pączek z kremem",361,6.4,30,24.5
"Kawa z mlekiem - Zott",68,3.3,10.5,1.4
"Olej z pestek dyni",887,0.8,1.4,97.6
"Ananas w plastrach (puszka)",59,0.5,13,0.5
"Kasza gryczana (nieugotowana)",348,12,66,2.8
"Kiełbasa polska",310,13.3,2.1,27.2
Pralinki,485,3.3,59.6,25.9
"Ser Kozi w plastrach (Światowid)",371,21.2,1.9,30.6
"Czekolada mleczna z nadzieniem truskawkowym - E. Wedel",499,5,61,26
"Pomidory suszone w oleju rzepakowym z ziołami",538,1.6,7,55
"Kura - tuszka",158,18.6,0,9.3
"Chleb razowy orkiszowy",233,11.3,36.5,4.8
"Jogurt Jogobella Panna Cotta Brzoskwiniowa - Zott",100,3.5,14.8,2.6
"Serek śmietankowy w plastrach z papryką - Delikate",307,8.4,3,29
"Musztarda Sarepska - Rikka",122,5.6,7.8,6.1
"Boczek wędzony chłopski",380,19.8,0,33.4
"Schab (gotowany)",291,30.4,0.7,18.7
"Maślanka 1,5% - Koło",46,3.6,4.5,1.5
"Ogórek kwaszony (Przysmaki Gospody) - Netto",12,1,1.9,0.1
"Wafle ryżowe z nasionami chia - Kupiec",386,9.3,71.8,4.9
"Szynka z piersi indyka opiekana - Indykpol",82,15.2,1.5,1.6
Słonina,811,2.4,0,89
"Zupa Kapuśniak na mięsie",29,1.6,3.1,1.3
"Naleśniki z jabłkami - Swojska Chata",159,4,29,2.5
"Chrupiąca sałatka (mix ziaren)",589,23,16,47
"sardynki w sosie pomidorowym",164,17,1.5,10
"Baton musli - Crownfield",435,8,61,18
"Schab ze śliwką",292,26,9.6,17.4
"Ciasto z owocami (truskawki)",276,6,27,16
"Sałata ze śmietaną",40,1,4.5,2.5
"Chleb żytni pełnoziarnisty z siemieniem lnianym",180,5.6,33.5,2.7
"Musli Premium - Vitanella",361,8.3,58.6,8.3
Rzeżucha,32,2.6,5.5,0.7
"Sardynki w sosie pomidorowym (konserwa)",185,20.9,0.5,10.5
"Bagietka francuska",217,6,45.7,0.8
"Śliwki Angeleno (okrągła ciemna)",36,0.6,8.8,0.1
"Czekolada gorzka Excellence 90% - Lindt",592,10,14,55
"Ser biały typu śródziemnomorskiego Apetina - Arla",215,4.9,3.7,20
"Jogurt naturalny 1,5% vet",52,4,5,1
"Otręby pszenne czerwone - Sante",276,16.5,20.1,4.7
"Wafle kukurydziane - Solone",379,9.6,75.8,2.6
"Mleko sojowe czekoladowe - Alpro",61,3.1,7.8,1.8
"Szynka wieprzowa gotowana, wędzona Dulano",147,20,1,7
"Koktajl truskawkowy",49,2.1,8.4,1.2
"Makaron Łazanki (ugotowany)",153,6.1,31.8,0.1
Brandy,220,0,0,0
"Twarożek ze szczypiorkiem - Pilos",131,9,5,8
"Mleko owsiane",47,0.3,9,1
"Kukurydza konserwowa - Pudliszki",90,3,17,1
"Otręby granulowane ze śliwkami - Sante",353,12,30,12
"Wątróbka smażona wieprzowa",166,26.8,4,4.1
"Kebab tortilla",153,8.6,17.4,5.5
"Czekolada - Kinder",566,9,53,35
"Wafle ryżowe z solą morską - Sonko",375,8.5,78.6,2.2
"łosoś z piekarnika bez oleju",261,24.9,0,17
"Pomidory daktylowe",15,0.9,3.6,0.2
"Woda z miodem i cytryną",43,0.1,10,0
"Ser cheddar dojrzały (Cathedral City)",416,26,0,35
"Serek Figura Puszysty śmietankowy - Turek",193,7.7,3.5,16.5
"Tuńczyk Nixe - Lidl",198,27,0,10
"Sushi z  łososiem (nigri)",200,10,40,1.6
"Sok wielowarzywny świeży",55,2.4,8.4,0.7
"Piwo pszeniczne",45,0.5,3.6,0
"Mieszanka Krakowska - Wawel",352,1.2,72.5,5.8
"Tuńczyk w sosie własnym - Tesco",99,23.5,0.1,0.6
"Czekoladki Mon Cheri",421,3.2,57.8,19.7
"Wątróbka z cebulką (smażona)",189,15.9,1.1,13.5
"pasztet pieczony",361,15.1,6.5,31.1
"Chrzan tarty - Rolnik",98,2.5,12,3
"Gruszka gotowana",52,1,13.2,0.2
"Sos majonezowy",678,0.9,0.5,77
"Chleb słonecznikowy żytnio pszenny",253,6.4,38.2,6.5
"Chleb Fitness Style ze śliwką - Schulstad",201,5.7,37.2,1.4
"pieczone ziemniaki z piekarnika",87,2,15,3
"Ser kozi (w plastrach)",392,23,0,32
"Wino białe - Sauvignon Blanc",81,0.1,2.1,0
"Mak niebieski",530,18,28.1,41.6
"Chipsy paprykowe - Lay's",524,6,51,31
"Chipsy Pringles",529,4,50,33
"Babka ziemniaczana",203,5.6,23.2,10
"Twaróg łowicki półtłusty - Łowicz",111,16,3.8,3.5
"Bułka do hot dog  francuski  ' Castello'  - Lidl",248,9,52,1
"Pomidory krojone w puszce bez skórki - Pudliszki",18,0.7,2.9,0.2
"Guma Orbit drażetki",152,0,63.3,0
"Ciasto jagodowe",245,2.7,33.5,11.9
"Jogurt naturalny bez cukru - Bieluch",54,3.5,5.5,2
"Sok warzywny",24,1,37,0.5
"Zupa szpinakowa",22,1.3,1.1,1.3
"Jogurt 7 zbóż musli - Bakoma",93,2.6,14.5,2.4
"Odżywka białkowa Pro Nos",386,56,24,12
"Chleb powszedni niskobiałkowy - PKU",234,0.5,50.7,3.2
"Rolada śląska",234,11.1,1.4,20.6
"Wędlina Basturma",170,27,4,8
"Brokuły mrożone Biedronka",29,2.7,2.4,0.4
"Mleko 0% tłuszczu - Juhayna",60,5,9,0
"Kluski kładzione",169,3.8,34.2,3.2
"Indyk udziec pieczony w rękawie",131,18,0.3,6
"Ser Mozzarella jager",244,19,0.4,18.5
"Maślanka truskawkowa - Milko",70,3.2,11,1.5
"Kawa 2w1 (rozpuszczona)",52,0.4,5.6,2.9
"TOFU NATURALNE LUNTER (180G)",130,12,0.5,8
"Bulion kostka rosołowa królewski 9g - rosłół drobiowy - Winiary",6,0,0,1
"Lody bakaliowe - Grycan",160,2.8,16.7,9
"Blok czekoladowy (ciasto)",490,12,43,30
"Majonez napoleoński - Mosso",647,0.9,3.5,70
"Biszkopt ze śmietaną, galaretką i truskawkami",108,2,16.6,3.7
"Szynka wołowa (wędzona)",158,24,2,6
"100% casein Body attack",370,83,5,2
"Kasza manna (nieugotowana)",348,8.7,74,1.3
"Surówka z kiszonej kapusty, jabłka i cebuli",35,0.8,6,0.2
"Jogurt Bio z truskawkami - Bakoma",97,3.3,15.5,2.5
"Zupa krem z zielonego groszku",64,2.9,8.4,3.3
"Pomidory całe bez skórki puszka",20,1,3,0
"Konfitura z truskawek niskosłodzona - Lidl",169,0.5,40,0.5
"Lody Algida śmietankowa (rożek)",170,2.5,26,6
"Chleb pszenny  - Netto",270,10.9,47.5,3.7
"Krakowska sucha z indyka - Pikok",207,28,1,10
"Pumpernikiel pełnoziarnisty - Mestermacher",198,5.8,34.8,1.3
"Buraczki Dawtona",46,1.6,8.6,0
"Jogurt Activia 0% truskawka - Danone",54,4.2,9.1,0.1
"Łosoś pieczony w piekarniku bez oleju",261,24.9,0,17
"Zupa ogórkowa z warzywami",52,4.4,5,2.3
"Bułka Małgorzatka z makiem",234,5.9,45.9,2.8
"Czekolada o smaku toffi - E. Wedel",525,5.2,56.9,30.5
"Szynka wieprzowa, wędzona, gotowana DOMOWA",337,22.5,0,26.6
"Filety śledziowe solone a'la Matjas",225,18,0,17
"BCAA XTRA ACTIVLAB",304,76,0,0
"Parówki z szynki - Krakus",292,15,1.8,25
"Jogurt naturalny typ grecki light - Bakoma",60,3.6,5.2,2.8
"Makaron pełne ziarno Fusilli - Tesco",346,12.1,66.3,2.1
"Śledziki w zalewie octowej - Marinero",85,16,0.8,2
"Otręby orkiszowe - Plony Natury",362,13,64,3.3
"Szpinak w sosie serowym - Hortex",41,3.8,1.2,1.4
"Miód wielokwiatowy - Złota Pasieka",319,0.3,79.5,0
"Filet z piersi indyka (PIKOK)",114,23,1,2
"piwo Redd's jabłko trwa cytrynowa",54,0.1,5.6,0
"Pistacje solone",562,20,28,45
Omlet,72,6,3,4
"Pieczywo chrupkie żytnie - Sonko",360,8.9,74,1.4
"Kanapka italian BMT - Subway",414,21.1,46,17.7
"Smietanka słodka Mlekovita 12%",134,2.7,3.8,12
"Jogurt Men Pro truskawkowy - Bakoma",97,8,12,2
"Ser topiony Tost - Hochland",267,17,5.5,20
"Lody McFlurry Lion",177,3.4,28.5,5.4
"Jogurt Jogobella light brzoskwinia - Zott",60,3.9,8.6,1.1
"Chleb żytni razowy słonecznikowy - Kaufland",230,7,41,4.1
"Kasza pęczak",135,4.7,26.9,0.5
"Pomidor pomarańczowy",16,1.2,3.2,0.2
"Placki z jabłkami",106,4.1,16.8,2.4
"Maślanka naturalna 1,5% Polska - Mlekovita",45,3,4.8,1.5
"Płatki błonnik 5 zbóż - Sante",336,14.4,43.6,4.7
"Sałatka z brokułów z fetą i słonecznikiem",90,5,6,6
"Ser Feta sałatkowo-kanapkowy półtłusty - Tolonis",190,13,7.5,12
"Papryka konserwowa - Nasza Spiżarnia",27,0.6,4.8,0.5
"Kasza gryczana - Biedronka",104,3,20,1.1
"Musli śniadaniowe Crownfield - Lidl",367,8.4,62.5,7.4
"Serek delikatny naturalny - President",92,9.7,4.2,4
"Serek kanapkowy z szynką - Hochland",253,6,7,24
"Mieszanka warzywna",77,0.9,11.4,7.2
"Piersi z kurczaka Toves",95,19.5,0.5,1.6
"Ser żółty Light Królewski - Sierpc",301,31,1.6,19
"Jogurt Bio z jagodami - Bakoma",97,3,16,3
"Łosoś kawałki w sosie pomidorowym - Amerigo",147,13.2,4.8,8.3
"Żeberka wieprzowe duszone",397,29.1,0,30.3
"Chleb Złoty Łan - Biedronka",287,8.5,46.3,7.6
"Domowy pasztet z szynki i indyka",171,13.2,4,10.8
"Owsianka jabłko i cynamon - Goody",371,10.7,64.3,5.8
Kanapka,108,14.3,22.5,11.9
"Chleb Hetman - Putka",218,6,37,5.8
"Płatki owsiane górskie - Lidl",370,13.5,58.7,7
"Twaróg chudy - Kaufland",89,17.4,3.2,0.7
"Wafle ryżowe z pestkami dyni i algami morskimi - Sonko",385,9.7,76,3.9
"Kefir naturalny 1,5% - Łowicz",44,3.2,4.5,1.5
"Twaróg chudy 250g - Pilos",83,17,3.8,0
"Kiełbasa polska wieprzowo-wołowa, surowa, wędzona",299,12,2,27
"Andrut z masą kakaową",311,6.8,59,7
"Wermut (wino)",62,0.2,15.9,0
"Jogurt Actimel wieloowocowy",77,2.7,12.4,1.5
"Brzoskwinia Ufo (Saturn)",46,1,11.9,0.2
"Jogurt Jogobella light pieczone jabłko - Zott",60,3.9,8.6,1.1
"Serek wiejski cottage 2%",79,13,2,2
"Aptonia whey 9",360,83,3,2.4
"Buraczki marynowane obiadowe - Develey",39,1.3,7.8,0.1
"Filet z mintaja smażony",171,14.6,3.7,11.1
"Chipsy Crunchips Papryka - Lorenz",554,5.6,48,37
"Musli fruit value - Tesco",337,9,62,4
"Płatki pełnoziarniste Corn Flakes - Lubella",388,9,77,3.6
"Muffiny z kawałkami czekolady",369,5.6,44.5,18.7
"Żołądek z indyka",118,19,0,4.6
"Szybki Sernik na zimno z truskawkami (po przyrządzeniu)",158,7.1,21.3,4.9
"Serek wiejski Piątnica z jagodami",122,8.6,13,4
"Młody jęczmień",320,52,21,2
"Orzechy włoskie - Bakalland",666,16,11.5,60.3
"kasza jaglana z warzywami",65,2,12,1
"Torcik Wedlowski",547,6.1,53.7,33
"Sok z marchwi wyciskany",37,0.4,8.7,0.1
"Drożdżówka z kruszonką - Biedronka",245,5.3,48.5,3.4
"Ketchup pikantny premium - Develey",70,1,15,0.1
"Pierogi leniwe",189,15.6,21.9,4.4
"Czekolada Tradycyjna gorzka 70% - Wawel",527,10,34,39
"Ser Bryndza podkarpacka",227,18.7,1.8,16.1
Nachos,472,6.6,64.4,20
"Czekolada Alpine Milk - Milka",530,6.4,58.5,29.5
"Płatki jęczmienne błyskawiczne pełnoziarniste",389,9.8,79.4,3.6
"Serek kremowy naturalny Apetina - Arla",180,8,5,14
Hummus,252,6.8,7.7,19
"Popcorn z tłuszczem",500,9,57.2,28.1
"Karczek pieczony",234,16.5,0.9,18.5
"Serek do smarowania (kanapkowy)",104,9.5,3.8,5
"Red Bull light",3,0.1,0,0
"Parówki Babuni - Sokołów",331,11,1,28.9
"Odżywka białkowa Active Pro 80",388,80,11,1.5
"Szynka szwagra - Krakus",194,19,0.3,13
"Zupa Strogonow",118,12.9,3.1,5.8
"Groszek cukrowy",42,2.8,7.6,0.2
"Masło - Finuu",682,0.7,1.1,75
"Sok Vega warzywny słoneczny Meksyk - Tymbark",23,0.7,3.8,0.2
"Pierś kurza bez panierki (smażona)",239,24.6,0,15.7
"Surówka Smakołyk - Vital Fresh",91,1.6,8.2,5.3
"Dżem śliwkowy domowy niesłodzony",42,0.6,10.3,0.1
"Sernik z brzoskwiniami",191,9.2,23,6.9
"Papryka nadziewana mięsem i ryżem",157,5.2,12.8,11.4
"Chleb pełnoziarnisty żytni ciemny - Netto",219,5.3,42,2.1
"Ser twarogowy kozi (150 g) La Cabrette France - Rians",158,9.5,3,12
"Spaghetti po neapolitańsku",221,5.4,27.9,9.2
"Lody Sorbet truskawkowy",131,0.4,30.8,0.2
"Indyk (skrzydło bez skóry)",159,20.9,0,7.7
"Ciastko francuskie z czekoladą",356,3.7,48,21
"Białko protein czekolada - Hi-Tec",370,76,7.2,4.1
"Białko isolat high Whey protein  - Activlab",350,83,2,1
"Czekolada Strawberry Yoghurt - Milka",560,5.2,55,35.5
"Zupa krupnik z kaszą jęczmienną",44,1.3,7,1.2
"Chleb Esseński z lnem i słonecznikiem - TerraSana",250,11.7,48.2,5.8
"Szampan półsłodki",97,0.2,7,0
"Cieciorka - Dawtona",140,7,23,1.1
"piwo radler okocim z limonką 2% alkoholu",37,3,6.3,0
"Ziemniaki bez skóry opiekane",106,2.2,25,0.1
"Herbata miętowa",3,0,0.5,0
"Sos do mięsa",37,1,6.2,0.9
"Ryż brązowy naturalny (ugotowany)",129,2.8,30.7,0.8
"Miruna filet (surowa)",78,16,0,1.5
"Jogurt Jogobella malinowy - Zott",95,3.5,14.6,2.5
"Tunczyk w wodzie - Favorit",110,26,0,0.5
"Ciasteczka maślane",551,4.9,62,31
"Burrito z kurczakiem",179,9.8,20.5,6.4
"Pieczywo chrupkie razowe - Sante",389,11,72,4.5
"zupa warzywna na indyku",59,3.3,15.6,2
"Pomidory krojone w soku pomidorowym - Pudliszki",25,1.1,4.1,0.2
"Chleb żytni razowy 2000",195,4.9,41,1.3
"Ser topiony Fit Gouda w plastrach - Hochland",208,19,6,12
"Zapiekanka ziemniaczana",128,3,16.5,6
"Surówka z kapusty",36,1,7,1
"Musli tropikalne- Vitanella",371,9.4,64.7,6.3
"Polędwica Wieprzowa (pieczona) - Pikok",120,21,0.8,3.5
"Zupa krem pomidorowa z bazylią Pan Pomidor",42,1.2,4.4,1.5
"Kasza jęczmienna pęczak (suche nasiona) M - Plony Natury",343,8.3,69,1.8
"Feta grecka - Aldi",282,16,0.2,24.2
"Pasztet z soczewicy",222,8.7,23,10.9
"Ajwar łagodny (pasta warzywna)",78,1.5,11,4
"Serek Nasz puszysty ze szczypiorkiem NaTurek - Turek",261,7.4,3.9,24
"Pierś z kaczki ze skórą",202,25,0,11
"Kapusta włoska (ugotowana)",28,1.9,5.6,0.4
"Bagietka czosnkowa - Lidl",305,7.8,38,13
"Wieprzowina (szynka surowa)",264,18,0,21.3
"Kaczka pierś pieczona (bez skóry)",140,28,0,2.5
"Sernik na spodzie z herbatników",183,6,21,7
"Musztarda chrzanowa - Prymat",100,4.1,11,4.2
"sos do spaghetti bolognese",84,9.4,1.7,4.4
scitec,371,73,4.7,6.7
Erytrol,0,0,99,0
"Kabanos drobiowy exclusive - Tarczyński",538,24,4.8,47
"Bułka cynamonowa",403,7,53.4,18
"Sernik królewski",284,13.7,22.3,15.4
Kebab,202,9.9,20.3,10.4
"Hamburger McChicken - McDonald's",420,23,41,18
"Serek Tofu miękki",61,6.6,1.8,3.7
"Zupa z borowikiem Pani Grzybowa",27,1.3,3.2,0.7
"Warzywa na patelnię francuskie - Frosta",69,2,5.5,3.7
"śmietanka do kawy 12% tłuszczu",134,2.7,3.9,12
"Twaróg domowy",148,15.5,3.5,8
"Zupa jarzynowa domowa",29,3,1,1.6
"Wafel do lodów",416,6.9,81,7.2
"Tortilla z mięsem Gyros",224,10.7,24.3,9.3
"Tortilla z warzywami",82,3,11,3.2
"Mazurek kajmakowy",475,7.4,56,25.6
"jogurt naturalny pitny Danone",43,3,4,2
"Groszek zielony (mrożonka)",70,5,9,1
"Płatki śniadaniowe Cheerios Oats z cynamonem - Nestle",385,10.5,69.8,5.2
Koniak,225,0,0.8,0
"WPC 80 KFD",426,78,5.6,8.7
"Kapusta duszona z grzybami",44,1,4,2
"Chrupiąca sałatka (słonecznik, dynia, pinia - pestki)",589,23,16,47
"Baton Grzesiek mini",532,10.4,52.7,30.1
"Pierogi z truskawkami",146,2.5,30,1.4
"Pieczywo chrupkie pomidorowe - Sante",369,12,64,5
"Tofu wędzone",137,13,6,7
"Płatki kukurydziane - Carrefour",384,8,82,2
"Pizza farmerska ciasto pan - Pizza Hut",242,12,25,11
"Młoda kapusta duszona z pomidorami",55,2,7,3
"Olimp Carbonox",381,0,95,0.1
"Ciasto francuskie z budyniem",363,5,36,22
"Spaghetti (gotowe danie)",221,5.4,28,9.5
"Whisky Jack Daniel's",220,0,0,0
"Tuńczyk w sosie własnym - Graal",85,20,0,0.5
"Cieciorka konserwowa - Rolnik",127,6.3,18.3,3.2
"Mąka ryżowa",348,7,79.2,0.7
"Pomidory w puszce z czosnkiem - Dawtona",23,1.3,4,0
"Pyzy z mięsem (ugotowane)",146,4.6,27.2,2.1
"Chleb żytni pełnoziarnisty razowy - Mestemacher",197,5.2,41,1.4
"Marchewka na gęsto",56,1.3,6.9,2.6
"Szynka parmeńska",135,26,1,3
"Serek do smarowania kanapek Light (Cream Spread Balance) - Goldessa",102,9.5,3.8,5
"Chleb razowy light",178,7.2,33.5,1.7
"Napój mleczny Actimel lekki - Danone",28,2.8,3.3,0.1
"Cukierek kawowy Kopiko",436,0,88.4,13.4
"Śledź w occie",127,12.9,1,7.7
"Kiełbasa krakowska sucha Krakus",197,27,0,9
"Majonez lekki - Hellmann's",280,0.6,9,27
"Risotto z mięsem",226,7.9,19.2,13.6
"Kalafior (mrożonka)",24,2.2,2.3,0.2
"Makaron nieugotowany - Lubella",356,12,73,1.2
"Ser Bryndza sądecka",241,15,4.8,18
"Halibut wędzony",232,17,0,17
"Sos meksykański - Łowicz",72,1.9,11,1.5
"Jajecznica z dwóch jaj smażona na płaskiej łyżeczce masła",216,12.7,1.4,18
"Szynką wieprzowa gotowana (nasze pyszności)",82,17,2.4,0.7
"Ciasto Bajaderka",343,4.9,47.3,15
"Czekolada Creatoon Orange - Lindt",536,6.4,49,33
"Napój Kubuś marchwiowo-malinowy",48,0.1,11.5,0.1
"Ser Feta grecki w solance",275,16,1,23
"Kasza jaglana - Lidl",346,10.5,68.4,2.9
"Szpinak rozdrobniony mrożony",21,2.1,0.9,0.4
"Ciasto Rolada kakaowa",432,3.6,56,23
"Ciastko korzenne",465,4.8,78,14.9
"Siemię lniane mielone odtłuszczone",253,40,3,9
"Serek wiejski lekki - Tesco",80,11,2.3,3
"Sushi futomaki",142,6.7,15.9,6.2
"Ciasto z owocami (jabłka)",285,6,29,16
"Pasta z ciecierzycy",158,5.7,20,6.1
"Chipsy Prosto z pieca zielona cebulka z serem - Lay's",416,6,74,9.7
"Świeży sok marchewkowo - selerowy - Marwit",38,1,9,0
"Pizza z pieca kamiennego z salami",259,11.8,27.8,11.2
"fasola szparagowa zielona biedronka",31,2.2,3.3,0.2
Liczi,66,0.8,16.5,0.4
"Groszek konserwowy - Dawtona",75,5.5,8.7,0.8
"Tost maślany",266,8.6,50,3
"Czekoladki Malaga - Wawel",464,2,60,22
"Kasza pęczak - Kupiec",362,8.4,74.9,2
"Sok pomidorowy - Hortex",17,1,3,0
"Zupa z dynią i marchewką",49,0.4,5.4,2.6
"Masło orzechowe crunchy - Lidl",620,26.1,13.3,50
"Gnocchi - włoskie kopytka ziemniaczane",170,3.8,37,0.3
"Płatki śniadaniowe Granola z orzechami i kokosem - Sante",449,10.7,60.8,18
"Makaron pełnoziarnisty świdry (nieugotowany) - Lubella",340,15,58,3.2
"Wołowina (rozbratel)",153,20.6,0,6.9
"Ketchup - Hellmann's",84,1.1,19,0.5
"Fasola Mung (kiełki)",29,3,6.2,4
"Koncentrat pomidorowy Madero",97,5.6,14,1.5
"Warzywa do zapiekania (D'aucy)",74,2.2,11.6,1.7
"Masło klasyczne - Lurpak",706,0.5,0.6,78
"Płatki Jaglane (KUPIEC)",370,12.3,71.8,3.3
"Bułka - Aldi",261,9,47,3
"Szynka pieczona",299,27.6,0,19.8
"Baton białkowy",401,14,58,12
"Zupa meksykańska z mięsem mielonym",99,8.7,8.6,3.3
"Pizza Prosciutto",287,15.6,25.3,13.2
"Śledzik na raz z suszonymi pomidorami - Lisner",311,8.8,4.3,28.7
"Ciastka korzenne",439,6.2,75,12
"Kiełki rzodkiewki Biedronka",59,4.7,5.3,1.2
"Kiełbasa śląska Sokołów",241,17,0.5,19
"Ser podpuszczkowy Grana Padano",384,33,0,28
"Łosoś kanapkowy wędzony - Marinero",189,18,0,13
"Galaretka drobiowa",115,11.2,4.3,7.9
"Mleko 2% - Robico",47,3,4.3,2
"Płatki kukurydziane pełnoziarniste - Lubella",388,9,77,4
"Migdały - Bakalland",572,20,7.6,52
"Bułka mleczna",347,8.3,52,11
"Sushi z warzywami",118,2.2,25.8,0.2
"Klopsiki gotowane",223,18.8,13.3,11.1
"Lody czekoladowe - Grycan",248,5,28.2,12.6
"Danonki (jogurt do picia)",71,2.8,10.5,1.6
"Makaron pełnoziarnisty Pastani Tagiatelle (nieugotowany)",343,12,65,1.8
"Groszek ptysiowy",497,16.5,41.6,29.5
"Baton Go ON! protein bar żurawinowy z Goji i inuliną",435,17.8,42.8,19.8
"Galareta wieprzowa",172,14.7,4.3,10.6
"Ser biały Capri - Sierpc",174,11,3,13
"Warzywa na patelnię z ciecierzycą - Mroźna Kraina",65,4,6.4,1.5
"Kotlety devolay z kurczaka",191,19.2,4.3,10.7
"Mleko kokosowe Light",68,0.8,3.3,5.7
"Jogurt naturalny 0% pitny - FruVita",37,4.1,4.9,0.5
"Dżem jagodowy",197,0.3,48,0.2
"Ser Gouda bez laktozy - Biedronka",334,25,0,26
"Serek kremowy o smaku łososiowym - Turek",205,7.3,3.5,18
"Otręby pszenne prażone",268,16,19.5,4.6
"Chleb bezglutenowy Rustico",224,4.4,41,3.3
"Ser twarogowy tłusty Mazurski Smak - Mlekpol",150,16,3.5,8
"Ser Emmental",388,30.5,0.1,29.5
"Przyprawa kebab-gyros",0,0,0,0
"Papryka jalapeno",29,0.9,6.5,0.4
"Papryka jalapeno marynowana",27,0.9,4.7,0.9
"Cielęcina (mięso bez kości)",110,20.2,0,2.6
"Młoda kapusta z boczkiem",187,7,3.6,16.1
"Musli orkiszowe polskie owoce - Vivi",336,8.7,63.1,2.9
"Kawa zbożowa Inka Magne z cukrem i mlekiem 2% tłuszczu",102,3,20,2
"Burger wegetariański",234,17,11,13
"Ciasteczka czekoladowe",303,6.9,67.8,0.5
"Cielęcina (duszona)",188,34.9,0,4.3
"Pita bread",224,10.1,39.9,2.7
"Pulpety drobiowe (na parze)",118,16,8,3
"Polędwica z kurczaka panierowana",175,19,7.8,7.6
"Serek homogenizowany 0% naturalny",58,9.2,5.2,0
"Szynka gotowana z indyka - Indykpol",90,12.5,3.1,3.1
"Czekolada deserowa belgijska Magnetic - Biedronka",541,5.4,49.6,35.4
"Mieszanka warzywna wiosenna",41,2.8,4.8,0.3
"Dżem pomarańczowy niskosłodzony",194,0.4,48,0.1
"Pieczywo czosnkowe",350,8.4,41.7,16.6
"Rurka z bitą śmietaną",288,4.1,36.3,14.2
"Cukinia smażona",63,2.6,4.8,2.6
"Ciasto z bitą smietaną i galaretką",108,2,16,4
"Jogurt Jogobella jagoda - Zott",98,3.5,15.3,2.5
"Tarta z szpinakiem i feta",176,5.8,13.7,11.2
"Śledzie wiejskie - Lisner",312,8.6,3.7,29.1
"Ser Ricotta miękki niedojrzewający",97,7,3.7,6
"Napój jabłko wiśnia - Tymbark",40,0,9.7,0
"Wafle ryżowe musli - Arroza",396,7.9,78,4.9
"Kawa Cappuccino o smaku karmelowym",451,4.7,76,14
"Chleb żytni pełnoziarnisty - Tesco",186,4.8,33,1.5
"Tofu naturalne pasteryzowane POLSOJA",130,12.3,0.5,8.5
"Chleb Żytni pełnoziarnisty - Lidl",210,5.8,38,1.8
"Tost pełnoziarnisty",247,9.5,43,3
"Petit Beurre ciastka",438,8,78,10
"Masło Ekstra - Widok",735,0.7,0.7,82
"Parówki wyborne classic - Nasze Smaki",252,13,3,21
"Dżem brzoskwiniowy - Łowicz",142,0.4,34.4,0.1
"Mąka pszenna tortowa typ 450 - Netto",341,10.2,71.3,1.1
"Ananas suszony",338,2.4,77.3,0.5
"Jogurt Activia + owoce - Danone",90,3.8,10.3,2.9
"Pierogi z kapustą i mięsem",179,7,23,6.5
"Ciabatta alpejska",264,5.8,48,5.5
"Twaróg wędzony",165,18,3,9
"Kiełbasa żywiecka sucha",213,22,1.7,13
Wieprzowina,155,21.6,0,6.9
